,Fichero,Identificador,Fecha,Fecha_Clasificacion,Objeto,Trayectoria_1,Trayectoria_2,Grosor_1,Grosor_2,Retirada
0,""":{""retired"":null",88484602,,20230525,Meteoro,"[656.193664550781, 1154.836364746091]","[649.9047851562495, 1254.9570922851535]","[0, 0]","[0, 0]",False
1,""":{""retired"":null",88484622,,20230525,Meteoro,"[784.060180664062, 373.07481892903434]","[774.0029703776019, 401.16838582355086]","[0, 0]","[0, 0]",False
2,""":{""retired"":null",88484641,,20230525,Meteoro,"[497.165893554687, 39.78711318969726]","[537.866149902343, 82.5745468139648]","[0, 0]","[0, 0]",False
3,""":{""retired"":null",88484600,,20230525,Meteoro,"[967.450744628906, 213.9348449707031]","[1069.304687, 200.57690429687]","[0, 0]","[0, 0]",False
4,""":{""retired"":null",88484586,,20230525,Meteoro,"[718.6601562, 1227.464233398437]","[454.842010498046, 1122.270874023437]","[0, 0]","[0, 0]",False
5,""":{""retired"":null",88484626,,20230525,Meteoro,"[943.825195312, 280.8579101562]","[928.171264648437, 399.82788085937]","[0, 0]","[0, 0]",False
6,""":{""retired"":null",88484601,,20230525,Meteoro,"[745.541870117187, 203.631759643554]","[648.487365722656, 259.98599243164]","[0, 0]","[0, 0]",False
7,""":{""retired"":{""id"":116920423,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:05.411Z"",""updated_at"":""2023-06-14T04:23:00.045Z"",""retired_at"":""2023-06-14T04:23:00.036Z"",""subject_id"":89716188,""retirement_reason"":""classification_count""}",89716188,"20423,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:0",20230614,Meteoro,"[1138.6056095965116, 96.94838831974903]","[1183.114229642419, 112.01522768460781]","[0, 0]","[0, 0]",False
8,""":{""retired"":{""id"":116920325,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:34.714Z"",""updated_at"":""2023-06-13T22:44:54.451Z"",""retired_at"":""2023-06-13T22:44:54.444Z"",""subject_id"":89716133,""retirement_reason"":""classification_count""}",89716133,"20325,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:3",20230613,Lightning,,,,,False
9,""":{""retired"":{""id"":116920341,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:01:50.747Z"",""updated_at"":""2023-06-14T00:49:31.086Z"",""retired_at"":""2023-06-14T00:49:31.046Z"",""subject_id"":89716144,""retirement_reason"":""classification_count""}",89716144,"20341,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:01:5",20230614,Lightning,,,,,True
10,""":{""retired"":{""id"":116920496,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:47.351Z"",""updated_at"":""2023-06-14T00:08:14.735Z"",""retired_at"":""2023-06-14T00:08:14.726Z"",""subject_id"":89716180,""retirement_reason"":""classification_count""}",89716180,"20496,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:4",20230614,Meteoro,"[677.1512216420462, 319.9304586557236]","[661.9369319035063, 333.85894305888945]","[909.2430013020826, 569.1793111165342]","[909.2430013020826, 569.1793111165342]",False
11,""":{""retired"":{""id"":116920374,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:02:48.587Z"",""updated_at"":""2023-06-13T19:37:53.152Z"",""retired_at"":""2023-06-13T19:37:53.143Z"",""subject_id"":89716153,""retirement_reason"":""classification_count""}",89716153,"20374,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:02:4",20230613,Lightning,,,,,False
12,""":{""retired"":null",89716154,,20230614,Lightning,,,,,False
