,nombre_fichero,id
0,Gcam3-teleferico-PNteide-CAN-2016-11-06 - 01-36-48.gif,90021649
1,Gcam3-teleferico-PNteide-CAN-2016-11-06 - 04-19-04.gif,90021653
2,Gcam11-teleferico-PNteide-CAN-2016-05-04 - 04-36-18.gif,90021658
3,Gcam11-teleferico-PNteide-CAN-2016-05-04 - 04-51-09.gif,90021662
4,Gcam11-teleferico-PNteide-CAN-2016-05-06 - 04-50-09.gif,90021665
5,Gcam11-teleferico-PNteide-CAN-2016-05-24 - 04-35-48.gif,90021670
6,Gcam11-teleferico-PNteide-CAN-2016-05-24 - 04-37-07.gif,90021676
7,Gcam11-teleferico-PNteide-CAN-2016-05-24 - 04-49-38.gif,90021683
8,Gcam11-teleferico-PNteide-CAN-2016-05-24 - 04-53-12.gif,90021689
9,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 20-00-25.gif,90021696
10,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 20-39-48.gif,90021700
11,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 21-40-44.gif,90021706
12,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 22-01-48.gif,90021713
13,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 22-11-54.gif,90021719
14,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 22-15-47.gif,90021725
15,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 22-34-22.gif,90021729
16,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 22-45-47.gif,90021734
17,Gcam11-teleferico-PNteide-CAN-2016-11-05 - 22-57-17.gif,90021738
18,Gcam11-teleferico-PNteide-CAN-2016-11-06 - 00-22-27.gif,90021743
19,Gcam11-teleferico-PNteide-CAN-2016-11-06 - 01-36-48.gif,90021748
20,Gcam12-teleferico-PNteide-CAN-2016-05-03 - 00-16-18.gif,90021751
21,Gcam12-teleferico-PNteide-CAN-2016-05-04 - 02-35-47.gif,90021756
22,Gcam12-teleferico-PNteide-CAN-2016-05-06 - 02-58-51.gif,90021759
23,Gcam12-teleferico-PNteide-CAN-2016-05-06 - 03-57-42.gif,90021763
24,Gcam12-teleferico-PNteide-CAN-2016-05-06 - 04-50-08.gif,90021767
25,Gcam12-teleferico-PNteide-CAN-2016-05-24 - 04-35-48.gif,90021770
26,Gcam12-teleferico-PNteide-CAN-2016-05-24 - 04-49-39.gif,90021775
27,Gcam12-teleferico-PNteide-CAN-2016-05-24 - 04-53-11.gif,90021780
28,Gcam12-teleferico-PNteide-CAN-2016-11-05 - 22-00-05.gif,90021785
29,Gcam12-teleferico-PNteide-CAN-2016-11-05 - 22-01-48.gif,90021789
30,Gcam12-teleferico-PNteide-CAN-2016-11-05 - 22-11-54.gif,90021792
31,Gcam12-teleferico-PNteide-CAN-2016-11-05 - 22-15-46.gif,90021797
32,Gcam12-teleferico-PNteide-CAN-2016-11-05 - 22-35-58.gif,90021800
33,Gcam12-teleferico-PNteide-CAN-2016-11-05 - 22-37-12.gif,90021802
34,Gcam12-teleferico-PNteide-CAN-2016-11-05 - 22-57-16.gif,90021805
35,Gcam12-teleferico-PNteide-CAN-2016-11-06 - 00-22-27.gif,90021808
36,Gcam12-teleferico-PNteide-CAN-2016-11-06 - 01-36-48.gif,90021810
37,Gcam12-teleferico-PNteide-CAN-2016-11-06 - 03-24-30.gif,90021813
38,Gcam12-teleferico-PNteide-CAN-2016-11-06 - 04-19-05.gif,90021815
39,Gcam13-IAC-OT-PNteide-CAN-2016-05-03 - 00-16-18.gif,90021818
40,Gcam13-IAC-OT-PNteide-CAN-2016-05-04 - 04-36-18.gif,90021821
41,Gcam13-IAC-OT-PNteide-CAN-2016-05-04 - 04-51-09.gif,90021824
42,Gcam13-IAC-OT-PNteide-CAN-2016-05-06 - 02-12-08.gif,90021827
43,Gcam13-IAC-OT-PNteide-CAN-2016-05-06 - 02-29-50.gif,90021831
44,Gcam13-IAC-OT-PNteide-CAN-2016-05-06 - 03-53-25.gif,90021834
45,Gcam13-IAC-OT-PNteide-CAN-2016-05-06 - 04-20-14.gif,90021837
46,Gcam13-IAC-OT-PNteide-CAN-2016-11-05 - 22-26-11.gif,90021840
47,Gcam13-IAC-OT-PNteide-CAN-2016-11-05 - 22-34-22.gif,90021843
48,Gcam13-IAC-OT-PNteide-CAN-2016-11-05 - 22-35-58.gif,90021846
49,Gcam13-IAC-OT-PNteide-CAN-2016-11-05 - 22-37-12.gif,90021849
50,Gcam13-IAC-OT-PNteide-CAN-2016-11-05 - 22-57-17.gif,90021852
51,Gcam13-IAC-OT-PNteide-CAN-2016-11-06 - 00-22-27.gif,90021855
52,Gcam13-IAC-OT-PNteide-CAN-2016-11-06 - 01-36-48.gif,90021857
53,Gcam16-parador-PNteide-CAN-2016-05-06 - 02-12-07.gif,90021860
54,Gcam16-parador-PNteide-CAN-2016-05-06 - 02-29-51.gif,90021863
55,Gcam16-parador-PNteide-CAN-2016-05-06 - 02-58-51.gif,90021866
56,Gcam16-parador-PNteide-CAN-2016-05-06 - 03-57-44.gif,90021868
57,Gcam16-parador-PNteide-CAN-2016-05-24 - 00-56-32.gif,90021871
58,Gcam16-parador-PNteide-CAN-2016-05-25 - 01-47-29.gif,90021876
59,Gcam16-parador-PNteide-CAN-2016-05-25 - 03-42-05.gif,90021881
60,Gcam16-parador-PNteide-CAN-2016-05-25 - 04-14-38.gif,90021885
61,Gcam16-parador-PNteide-CAN-2016-11-05 - 22-11-54.gif,90021889
62,Gcam16-parador-PNteide-CAN-2016-11-05 - 22-45-47.gif,90021892
63,Gcam16-parador-PNteide-CAN-2016-11-05 - 22-57-17.gif,90021895
64,Gcam16-parador-PNteide-CAN-2016-11-06 - 00-22-27.gif,90021897
65,Gcam16-parador-PNteide-CAN-2016-11-06 - 01-36-48.gif,90021900
66,Gcam17-parador-PNteide-CAN-2016-05-25 - 00-46-55.gif,90021903
67,Gcam17-parador-PNteide-CAN-2016-11-05 - 22-26-09.gif,90021907
68,Gcam17-parador-PNteide-CAN-2016-11-05 - 22-35-56.gif,90021913
69,Gcam17-parador-PNteide-CAN-2016-11-05 - 22-45-47.gif,90021917
70,Gcam17-parador-PNteide-CAN-2016-11-06 - 00-22-27.gif,90021921
71,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-05 - 20-39-48.gif,90021925
72,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-05 - 21-40-44.gif,90021927
73,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-05 - 22-00-05.gif,90021930
74,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-05 - 23-38-18.gif,90021933
75,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-06 - 00-22-27.gif,90021936
76,Gcam25-CF-tefia-CAN-2016-11-05 - 22-00-05.gif,90021938
77,Gcam25-CF-tefia-CAN-2016-11-05 - 22-34-24.gif,90021941
78,Gcam25-CF-tefia-CAN-2016-11-06 - 03-24-30.gif,90021945
79,Gcam3-teleferico-PNteide-CAN-2016-05-03 - 00-16-17.gif,90021947
80,Gcam3-teleferico-PNteide-CAN-2016-05-04 - 02-35-47.gif,90021950
